sample_barcode,patient_barcode,CNV_NMF1,CNV_NMF2,CNV_NMF3,CNV_NMF4,CNV_NMF5,CNV_NMF6,CNV_NMF7,CNV_NMF8,CNV_NMF9,CNV_NMF10,CNV_NMF11,CNV_NMF12,CNV_NMF13,CNV_NMF14,CNV_NMF15
TCGA-BR-8484-01,TCGA-BR-8484,0.06735280504724597,0.25874959931290464,0.6250426110466605,0.0117393914985946,0.442145600491015,0.38377245675224475,0.00012330303788371275,0.42651336656181016,0.8012523948622357,0.03425548222321726,0.0008798217808459698,0.09174157533325152,0.2770018660257881,0.21378453812007167,0.7226451547781289
TCGA-BR-8485-01,TCGA-BR-8485,0.31086054677192604,0.19648761573527931,0.3999491938021814,3.313510789366036e-10,2.320190948641526e-05,0.4587571716260414,0.05219017630641796,6.291449279296156e-21,0.06730068827630827,0.8370768010161304,0.27036401945884003,0.0013739565846017476,0.6976050838046386,0.1744883945658701,0.26619879879189157
TCGA-BR-8486-01,TCGA-BR-8486,0.008241379912465123,0.7857088119140251,0.23558903410262724,0.5521667286905079,0.27145502307072644,0.5739930947317178,0.3669387143636815,0.6779346792546336,8.332843176167695e-16,0.45617912689487944,0.10965271247681002,0.0018927800910222919,0.447283942680336,0.2447641100175311,0.03784477447344541
TCGA-BR-8588-01,TCGA-BR-8588,0.5224456944211027,0.23465817472327619,0.3147064737225724,0.48617836837090106,0.000105548445829988,0.15415581109720253,0.472984516923053,0.3937808301950081,0.46039353431555924,0.3465557574140103,0.45184182409492596,0.5849186316454142,0.23741022620399585,0.11585447267685099,0.33157513103999586
TCGA-BR-8589-01,TCGA-BR-8589,0.2523747114609068,0.34456998645847575,0.40480695445583886,0.2947928440723103,0.23288239078306258,0.148530079416321,0.2519133800474994,0.3278247770172605,0.5418129272681967,0.13715467498800862,0.3900655109053721,0.3783547495189079,0.23523252214010817,0.15474999391036293,0.06903036588233734
TCGA-BR-8590-01,TCGA-BR-8590,0.3501075299924823,0.5041493483399985,0.004284814663418557,0.3089608969057154,0.22007511260563692,0.25087556895701374,0.2592548390135607,0.7638062943902073,0.6783152837794292,0.012584574379681563,0.24160871552748897,0.39122592369814685,0.2131380136785428,0.11257807611527099,0.31808670203435363
TCGA-BR-8591-01,TCGA-BR-8591,0.18615557863201168,0.2999204474013119,0.3063057716029984,0.29008214497260343,0.2903335659869657,0.11863196543959814,0.27323009651450314,0.6733811429366496,0.20951501692304905,0.2854239052532547,0.3473006593399408,0.34273831272527655,0.2401520494080229,0.14942480714439987,0.38880937779874053
TCGA-BR-8592-01,TCGA-BR-8592,0.2358559603376127,0.351680413490086,0.36444006909707394,0.281280282510952,0.22519348975653442,0.17615735822276943,0.27238977660226177,0.3401928917168918,0.23125550096570563,0.11162064331294862,0.3848699697242215,0.3366986483249715,0.2572782918518038,0.1628666865950342,0.39403497412341765
TCGA-BR-8676-01,TCGA-BR-8676,0.24379926305619481,0.31093390538178317,0.257197356419417,0.3091867584686168,0.28609951281675494,0.09913439564350432,0.23842888629423217,0.6677220379813947,0.5196273276748922,0.2727140182432857,0.3462363178136413,0.3270298937121465,0.2224736216607546,0.14058536228230553,0.37546723865986087
TCGA-BR-8677-01,TCGA-BR-8677,0.21312932218847608,0.44325787486842533,0.29447455472406797,0.3592144928135039,0.20950823761609164,0.5970705880561105,0.3276690314640578,0.3832956490242201,0.18430982457153233,0.1489123426605908,0.16490165969588255,0.2800834605694136,0.2572864587597445,0.08753754757727142,0.11253024873428841
TCGA-BR-8678-01,TCGA-BR-8678,0.49973235893754453,4.0380751406162834e-13,0.19985678292371054,0.4796917631668399,0.18818629444607987,1.6470988222888063e-12,0.2250219945713221,0.32535539461788526,0.0005918333286028737,0.16104938961003112,0.4877932977142135,0.45746419757778345,0.868704524958121,8.15828633814163e-09,0.6015201967308099
TCGA-BR-8679-01,TCGA-BR-8679,0.3051603925645102,0.4671491542358603,0.8022414663811862,4.458115918540833e-05,0.26772870011313643,0.23886539463642345,2.2339999118058548e-05,0.5836453805968207,0.5480112922385049,0.4671934671537168,0.20570975665659855,0.059154613571445885,0.2541809460804232,0.30571266776094164,0.35101515777651177
TCGA-BR-8680-01,TCGA-BR-8680,0.3184525059462338,0.4589696391161348,0.09138188122778812,0.320605099877836,0.1326059535507201,0.3359874293264226,0.3011006990838601,0.1120075390721093,0.22283340632303078,0.2746782829148595,0.29350219977078323,0.39196242335363163,0.2693294824402843,0.16615427151868745,0.20164206195680964
TCGA-BR-8682-01,TCGA-BR-8682,0.5834807241337251,0.6658386933552229,0.2591717545069655,0.00013245048151974527,0.2522776440401163,0.1495259679889203,0.6207794556092058,0.05466222403941565,0.27819876518479913,0.5132405493310458,0.2503824386413955,0.04965384119117978,0.14329717692568159,0.42345200716577136,0.39304765022009597
TCGA-BR-8683-01,TCGA-BR-8683,0.002531174995859242,0.5724306625563679,0.5526818632956786,0.15428121735540545,0.0329588967095006,0.343898157288623,0.2693300319266389,0.02335781086934653,0.34060736161707944,0.5238225634276983,0.6114132306756981,0.08663117859762805,3.3638053886423835e-07,0.37346796203990584,1.3305580196216502e-07
TCGA-BR-8686-01,TCGA-BR-8686,0.589772723648618,0.4025755029216275,0.420179583998092,0.08887771720053778,0.4183002096313097,0.1651857303349202,0.07112868588972217,0.3711436782272045,0.25583185060831737,0.23095890049424808,0.003731850307575611,0.14597523531022014,0.3160654275723799,0.17757825037639127,0.13775716102351554
